ingredient,local_alias,product_name,brand_name,expiry_date,Estimated Total Qty,minQty,unit,original unit,price
Capsicum,,Capsicum,Generic,3/22/2023,200,100,Kg,None,
Fenugreek Leaves,,Fenugreek Leaves,Generic,3/22/2023,200,100,Kg,None,
Egg Organic,,Egg Organic,Generic,3/22/2023,200,100,Kg,None,
Egg,,Egg,Generic,3/22/2023,200,100,Kg,None,
Green Bell Pepper,,Green Bell Pepper,Generic,3/22/2023,200,100,Kg,None,
Cucumber,,Cucumber,Generic,3/22/2023,200,100,Kg,None,
Bottle Gourd,,Bottle Gourd,Generic,3/22/2023,200,100,Kg,None,
Ridge Gourd,,Ridge Gourd,Generic,3/22/2023,200,100,Kg,gm,24000.0
Sweet Lime,,Sweet Lime,Generic,3/22/2023,200,100,Kg,gm,60000.0
Palmier,,Palmier,Generic,3/22/2023,200,100,Kg,None,
Tender Gourd,,Tender Gourd,Generic,3/22/2023,200,100,Kg,gm,24000.0
Ash Gourd,,Ash Gourd,Generic,3/22/2023,200,100,Kg,gm,24000.0
Vegetable Oil,,Vegetable Oil,Generic,3/22/2023,200,100,liter,ml,198000.0
Orange Juice,,Orange Juice,Generic,3/22/2023,200,100,liter,l,49400.0
Lemon,,Lemon,Generic,3/22/2023,200,100,liter,None,
Tea,,Tea,Generic,3/22/2023,200,100,liter,kg,
Milk Lowfat,,Milk Lowfat,Generic,3/22/2023,200,100,liter,None,
Rose,,Rose,Generic,3/22/2023,200,100,liter,ml,198000.0
Milk,,Milk,Generic,3/22/2023,200,100,liter,l,13400.0
Orange Drink,,Orange Drink,Generic,3/22/2023,200,100,liter,None,
Pickle Relish,,Pickle Relish,Generic,3/22/2023,200,100,liter,gm,
Vanilla bean,,Vanilla bean,Generic,3/22/2023,200,100,liter,gm,
Milk Whole,,Milk Whole,Generic,3/22/2023,200,100,liter,None,
Oil Sunflower,,Oil Sunflower,Generic,3/22/2023,200,100,liter,ml,198000.0
Fresh Lemon Juice,,Fresh Lemon Juice,Generic,3/22/2023,200,100,liter,ml,20000.0
Hot Sauce,,Hot Sauce,Generic,3/22/2023,200,100,liter,gm,
Soy Sauce,,Soy Sauce,Generic,3/22/2023,200,100,liter,gm,
Worcestershire Sauce,,Worcestershire Sauce,Generic,3/22/2023,200,100,liter,gm,
Carrot Juice,,Carrot Juice,Generic,3/22/2023,200,100,liter,gm,
Oil Canola,,Oil Canola,Generic,3/22/2023,200,100,liter,ml,198000.0
Oil Corn,,Oil Corn,Generic,3/22/2023,200,100,liter,gm,
Oil Peanut,,Oil Peanut,Generic,3/22/2023,200,100,liter,gm,
Sesame Oil,,Sesame Oil,Generic,3/22/2023,200,100,liter,gm,
Soda,,Soda,Generic,3/22/2023,200,100,liter,ml,4000.0
Heavy Cream,,Heavy Cream,Generic,3/22/2023,200,100,liter,gm,
Milk Sweetened Caramelized,,Milk Sweetened Caramelized,Generic,3/22/2023,200,100,liter,gm,
Coconut Water,,Coconut Water,Generic,3/22/2023,200,100,liter,gm,
Syrup,,Syrup,Generic,3/22/2023,200,100,liter,gm,
Mangosteen,,Mangosteen,Generic,3/22/2023,200,100,liter,None,
Soya,,Soya,Generic,3/22/2023,200,100,liter,gm,
Dill Pickle,,Dill Pickle,Generic,3/22/2023,200,100,liter,gm,
Vinegar Synthetic,,Vinegar Synthetic,Generic,3/22/2023,200,100,liter,ml,12000.0
Evaporated milk,,Evaporated milk,Generic,3/22/2023,200,100,liter,gm,
Pineapple Juice,,Pineapple Juice,Generic,3/22/2023,200,100,liter,ml,160000.0
Buttermilk,,Buttermilk,Generic,3/22/2023,200,100,liter,ml,14000.0
Lemon Juice,,Lemon Juice,Generic,3/22/2023,200,100,liter,ml,10000.0
Lime Juice,,Lime Juice,Generic,3/22/2023,200,100,liter,ml,10000.0
Vinegar,,Vinegar,Generic,3/22/2023,200,100,liter,ml,10000.0
Coconut Cream,,Coconut Cream,Generic,3/22/2023,200,100,liter,gm,
Kashmiri Dry Chili Pepper,,Kashmiri Dry Chili Pepper,Generic,3/22/2023,200,100,liter,gm,
Mango Juice,,Mango Juice,Generic,3/22/2023,200,100,liter,ml,34000.0
Nestle Cream,,Nestle Cream,Generic,3/22/2023,200,100,liter,gm,
Coconut Milk,,Coconut Milk,Generic,3/22/2023,200,100,liter,ml,72000.0
Olive Oil,,Olive Oil,Generic,3/22/2023,200,100,liter,l,111000.0
water,,water,Generic,3/22/2023,200,100,liter,ml,70000.0
Watermelon,,Watermelon,Generic,3/22/2023,200,100,liter,gm,
Chili Sauce,,Chili Sauce,Generic,3/22/2023,200,100,liter,gm,
Whipped Cream,,Whipped Cream,Generic,3/22/2023,200,100,liter,kg,
Ranch Dressing,,Ranch Dressing,Generic,3/22/2023,200,100,liter,gm,
Sev,,Sev,Generic,3/22/2023,200,100,liter,gm,
Mayonnaise,,Mayonnaise,Generic,3/22/2023,200,100,liter,kg,
Oil Hazelnut,,Oil Hazelnut,Generic,3/22/2023,200,100,liter,ml,198000.0
Gherkins,,Gherkins,Generic,3/22/2023,200,100,liter,None,
Maggi,,Maggi,Generic,3/22/2023,200,100,liter,gm,
Vinegar Balsamic,,Vinegar Balsamic,Generic,3/22/2023,200,100,liter,ml,12000.0
Vinegar White,,Vinegar White,Generic,3/22/2023,200,100,liter,ml,10000.0
Vanilla,,Vanilla,Generic,3/22/2023,200,100,liter,ml,128000.0
Pepper Sauce,,Pepper Sauce,Generic,3/22/2023,200,100,liter,gm,
Egg White,,Egg White,Generic,3/22/2023,200,100,liter,gm,
Oil Coconut,,Oil Coconut,Generic,3/22/2023,200,100,liter,gm,
Food Color,,Food Color,Generic,3/22/2023,200,100,liter,gm,
Oil Virgin Olive,,Oil Virgin Olive,Generic,3/22/2023,200,100,liter,l,154000.0
Cream,,Cream,Generic,3/22/2023,200,100,liter,gm,
Potato,,Potato,Generic,3/22/2023,200,100,Kg,kg,5600.0
Banana,,Banana,Generic,3/22/2023,200,100,Kg,gm,76000.0
Beetroot,,Beetroot,Generic,3/22/2023,200,100,Kg,gm,10000.0
Pumpkin,,Pumpkin,Generic,3/22/2023,200,100,Kg,gm,192000.0
Jackfruit,,Jackfruit,Generic,3/22/2023,200,100,Kg,None,
Cabbage,,Cabbage,Generic,3/22/2023,200,100,Kg,gm,8000.0
Onion,,Onion,Generic,3/22/2023,200,100,Kg,ml,
Orange,,Orange,Generic,3/22/2023,200,100,Kg,l,6844.0
Onion White,,Onion White,Generic,3/22/2023,200,100,Kg,ml,
Papaya,,Papaya,Generic,3/22/2023,200,100,Kg,gm,1380000.0
Yam Elephant,,Yam Elephant,Generic,3/22/2023,200,100,Kg,gm,14000.0
Red Cabbage,,Red Cabbage,Generic,3/22/2023,200,100,Kg,gm,8000.0
Butternut Squash,,Butternut Squash,Generic,3/22/2023,200,100,Kg,l,41800.0
Jalapeno Pepper,,Jalapeno Pepper,Generic,3/22/2023,200,100,Kg,gm,276000.0
Onion Yellow,,Onion Yellow,Generic,3/22/2023,200,100,Kg,ml,
Zucchini,,Zucchini,Generic,3/22/2023,200,100,Kg,gm,36000.0
Strawberry,,Strawberry,Generic,3/22/2023,200,100,Kg,gm,76000.0
Eggplant,,Eggplant,Generic,3/22/2023,200,100,Kg,gm,18000.0
Flour Double Zero,,Flour Double Zero,Generic,3/22/2023,200,100,Kg,ml,
Flour Whole Wheat,,Flour Whole Wheat,Generic,3/22/2023,200,100,Kg,kg,10600.0
Wheat Flour,,Wheat Flour,Generic,3/22/2023,200,100,Kg,kg,10600.0
White Flour,,White Flour,Generic,3/22/2023,200,100,Kg,gm,44000.0
Whole wheat flour,,Whole wheat flour,Generic,3/22/2023,200,100,Kg,gm,8000.0
Chicken Whole,,Chicken Whole,Generic,3/22/2023,200,100,Kg,gm,198000.0
Mustard Greens,,Mustard Greens,Generic,3/22/2023,200,100,Kg,gm,30000.0
Turnip,,Turnip,Generic,3/22/2023,200,100,Kg,None,
Ginger,,Ginger,Generic,3/22/2023,200,100,Kg,gm,24000.0
Bitter Gourd,,Bitter Gourd,Generic,3/22/2023,200,100,Kg,gm,18000.0
Broccoli,,Broccoli,Generic,3/22/2023,200,100,Kg,None,
Carrot,,Carrot,Generic,3/22/2023,200,100,Kg,gm,14000.0
Carrots Baby,,Carrots Baby,Generic,3/22/2023,200,100,Kg,gm,14000.0
Fresh Spinach,,Fresh Spinach,Generic,3/22/2023,200,100,Kg,kg,9400.0
Green Beans,,Green Beans,Generic,3/22/2023,200,100,Kg,gm,54000.0
Pear,,Pear,Generic,3/22/2023,200,100,Kg,gm,130000.0
Radish,,Radish,Generic,3/22/2023,200,100,Kg,None,
Tomato,,Tomato,Generic,3/22/2023,200,100,Kg,kg,19666.0
Kiwi,,Kiwi,Generic,3/22/2023,200,100,Kg,gm,326000.0
Lime,,Lime,Generic,3/22/2023,200,100,Kg,gm,80000.0
Chicken Drumsticks,,Chicken Drumsticks,Generic,3/22/2023,200,100,Kg,gm,246000.0
Chicken Leg,,Chicken Leg,Generic,3/22/2023,200,100,Kg,gm,112000.0
